,state_abr,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,prod_year,nCLOTHIANIDIN,nIMIDACLOPRID,nTHIAMETHOXAM,nACETAMIPRID,nTHIACLOPRID,nAllNeonic
124,GA,55000.0,57,3135000.0,376000.0,0.63,1975000.0,2000,0.0,3065.3,0.0,0.0,0.0,3065.3
125,GA,59000.0,49,2891000.0,434000.0,0.89,2573000.0,2005,58.4,3524.6,3326.1,7.6,20.6,6937.3
126,GA,59000.0,51,3009000.0,181000.0,1.92,5777000.0,2012,2027.7,21222.0,17521.6,62.3,5.9,40839.5
127,GA,60000.0,58,3480000.0,522000.0,1.19,4141000.0,2007,3736.5,5571.6,7840.9,10.8,0.0,17159.8
128,GA,63000.0,49,3087000.0,648000.0,1.2,3704000.0,2004,4667.9,3927.7,1823.0,0.1,2.7,10421.4
129,GA,63000.0,74,4662000.0,746000.0,1.2,5594000.0,2006,1161.6,11053.7,9371.1,52.7,41.4,21680.5
130,GA,65000.0,41,2665000.0,346000.0,1.47,3918000.0,2009,2305.1,11526.9,9464.0,27.8,0.4,23324.2
131,GA,65000.0,43,2795000.0,196000.0,1.65,4612000.0,2011,2592.3,38017.1,17996.9,6.0,13.1,58625.4
132,GA,65000.0,51,3315000.0,497000.0,0.64,2122000.0,1999,0.0,3647.8,0.0,0.0,0.0,3647.8
133,GA,65000.0,71,4615000.0,369000.0,1.52,7015000.0,2008,1942.8,6568.8,9468.3,25.9,21.5,18027.3
134,GA,67000.0,50,3350000.0,637000.0,2.26,7571000.0,2013,4551.9,17838.7,22223.9,33.7,0.0,44648.2
135,GA,69000.0,40,2760000.0,221000.0,2.43,6707000.0,2015,1734.4,24940.5,2930.0,41.6,0.0,29646.5
136,GA,73000.0,62,4526000.0,362000.0,2.19,9912000.0,2014,7799.7,27802.7,16303.3,27.0,0.0,51932.7
137,GA,75000.0,56,4200000.0,307000.0,0.69,2898000.0,1998,0.0,5259.6,0.0,0.0,0.0,5259.6
138,GA,96000.0,39,3744000.0,899000.0,2.69,10071000.0,2016,4515.6,42934.0,9302.7,63.5,0.0,56815.8
139,GA,99000.0,32,3168000.0,190000.0,2.96,9377000.0,2017,,,,,,
140,HI,10000.0,75,750000.0,263000.0,4.15,3113000.0,2012,,,,,,
141,HI,10000.0,77,770000.0,239000.0,2.75,2118000.0,2010,,,,,,
142,HI,10000.0,90,900000.0,225000.0,1.59,1431000.0,2008,,,,,,
143,HI,10000.0,92,920000.0,285000.0,1.7,1564000.0,2007,,,,,,
144,HI,10000.0,93,930000.0,233000.0,1.21,1125000.0,2006,,,,,,
145,HI,10000.0,95,950000.0,323000.0,1.76,1672000.0,2009,,,,,,
146,HI,12000.0,131,1572000.0,16000.0,1.51,2374000.0,2017,,,,,,
147,HI,13000.0,83,1079000.0,65000.0,1.97,2126000.0,2013,,,,,,
148,HI,14000.0,102,1428000.0,71000.0,1.91,2727000.0,2015,,,,,,
149,HI,15000.0,93,1395000.0,140000.0,2.29,3195000.0,2014,,,,,,
150,HI,16000.0,113,1808000.0,127000.0,2.31,4176000.0,2016,,,,,,
151,HI,7000.0,112,784000.0,125000.0,0.82,643000.0,2000,,,,,,
152,HI,7000.0,114,798000.0,43000.0,1.45,1157000.0,2003,,,,,,
153,HI,7000.0,136,952000.0,29000.0,1.11,1057000.0,2002,,,,,,
154,HI,8000.0,118,944000.0,66000.0,0.77,727000.0,1998,,,,,,
155,HI,8000.0,80,640000.0,32000.0,0.8,512000.0,1999,,,,,,
156,HI,8000.0,87,696000.0,84000.0,0.87,606000.0,2001,,,,,,
157,HI,8000.0,96,768000.0,77000.0,1.59,1221000.0,2004,,,,,,
158,HI,9000.0,131,1179000.0,283000.0,1.43,1686000.0,2005,,,,,,
159,HI,9000.0,74,666000.0,246000.0,3.65,2431000.0,2011,,,,,,
160,IA,24000.0,62,1488000.0,580000.0,1.58,2351000.0,2008,95696.0,16994.9,37337.2,0.9,0.0,150029.0
161,IA,25000.0,62,1550000.0,961000.0,1.96,3038000.0,2011,129359.2,36744.7,56816.9,10.3,0.0,222931.1
162,IA,26000.0,42,1092000.0,339000.0,1.6,1747000.0,2009,87469.4,17994.1,52617.1,7.5,0.0,158088.1
163,IA,26000.0,81,2106000.0,1221000.0,1.31,2759000.0,2007,55855.6,6057.1,31059.7,7.9,0.0,92980.3
164,IA,26000.0,84,2184000.0,1441000.0,1.37,2992000.0,2006,48965.9,4205.2,18630.3,8.4,0.0,71809.8
165,IA,27000.0,49,1323000.0,463000.0,1.92,2540000.0,2010,61314.3,75558.9,48152.2,5.8,0.0,185031.2
166,IA,28000.0,88,2464000.0,1232000.0,1.21,2981000.0,2005,39662.1,5884.9,8273.3,9.1,0.0,53829.4
167,IA,30000.0,67,2010000.0,1206000.0,0.68,1367000.0,2000,0.0,61.4,0.0,0.0,0.0,61.4
168,IA,32000.0,59,1888000.0,868000.0,1.42,2681000.0,2003,0.0,79.4,4.4,9.2,0.0,93.0
169,IA,33000.0,51,1683000.0,875000.0,0.75,1262000.0,2001,0.0,57.6,0.6,0.0,0.0,58.2
170,IA,33000.0,70,2310000.0,901000.0,1.43,3303000.0,2002,0.0,102.5,3.3,0.0,0.0,105.8
171,IA,35000.0,43,1505000.0,933000.0,2.41,3627000.0,2014,256886.6,53938.0,64834.6,11.9,0.0,375671.1
172,IA,35000.0,58,2030000.0,1035000.0,2.22,4507000.0,2017,,,,,,
173,IA,35000.0,67,2345000.0,1337000.0,1.06,2486000.0,2004,21798.9,8143.3,5280.1,16.0,0.0,35238.3
174,IA,36000.0,50,1800000.0,990000.0,2.2,3960000.0,2015,3.2,4945.6,6004.2,3.3,0.0,10956.3
175,IA,37000.0,48,1776000.0,746000.0,2.08,3694000.0,2016,0.0,3160.6,1105.8,7.0,0.0,4273.4
176,IA,37000.0,61,2257000.0,1196000.0,2.17,4898000.0,2012,168229.2,49328.3,59286.2,11.0,0.0,276854.7
177,IA,39000.0,48,1872000.0,1217000.0,2.45,4586000.0,2013,214836.0,70715.7,49952.7,25.5,0.0,335529.9
178,IA,40000.0,65,2600000.0,2028000.0,0.65,1690000.0,1999,0.0,65.5,0.0,0.0,0.0,65.5
179,IA,50000.0,78,3900000.0,2301000.0,0.7,2730000.0,1998,0.0,322.4,0.0,0.0,0.0,322.4
180,ID,100000.0,46,4600000.0,1380000.0,1.33,6118000.0,2003,0.0,3601.3,575.4,27.1,0.0,4203.8
181,ID,100000.0,46,4600000.0,1610000.0,0.67,3082000.0,2001,0.0,2620.4,145.1,0.0,0.0,2765.5
182,ID,100000.0,47,4700000.0,2679000.0,0.52,2444000.0,2000,0.0,4524.8,0.0,0.0,0.0,4524.8
183,ID,100000.0,57,5700000.0,1653000.0,1.37,7809000.0,2002,0.0,2132.6,1352.3,4.5,0.0,3489.4
184,ID,100000.0,63,6300000.0,2520000.0,1.02,6426000.0,2004,0.3,3398.2,973.4,133.9,60.7,4566.5
185,ID,100000.0,34,3400000.0,850000.0,2.03,6902000.0,2014,6741.1,30798.5,5683.5,40.1,31.2,43294.4
186,ID,103000.0,46,4738000.0,1706000.0,1.52,7202000.0,2009,2353.4,22734.0,3717.1,61.7,19.3,28885.5
187,ID,120000.0,48,5760000.0,3110000.0,0.59,3398000.0,1999,0.0,906.8,0.0,0.0,0.0,906.8
188,ID,120000.0,50,6000000.0,2220000.0,0.65,3900000.0,1998,0.0,2116.3,0.0,0.0,0.0,2116.3
189,ID,83000.0,32,2656000.0,1036000.0,2.02,5365000.0,2013,4217.4,27564.6,7735.4,44.4,19.4,39581.2
190,ID,87000.0,36,3132000.0,1879000.0,1.78,5575000.0,2011,1157.6,25864.1,4727.0,108.7,27.6,31885.0
191,ID,89000.0,32,2848000.0,1082000.0,1.93,5497000.0,2015,0.3,20995.8,178.2,53.3,3.2,21230.8
192,ID,90000.0,40,3600000.0,1440000.0,1.46,5256000.0,2008,470.2,15855.1,1813.0,76.1,15.6,18230.0
193,ID,92000.0,32,2944000.0,530000.0,1.63,4799000.0,2012,3325.7,34000.0,5972.2,87.5,4.9,43390.3
194,ID,92000.0,41,3772000.0,1848000.0,1.15,4338000.0,2007,60.6,9556.5,1220.5,67.5,18.6,10923.7
195,ID,95000.0,37,3515000.0,1793000.0,0.8,2812000.0,2005,99.1,3750.9,1607.9,117.0,23.0,5597.9
196,ID,95000.0,44,4180000.0,1045000.0,1.79,7482000.0,2017,,,,,,
197,ID,95000.0,44,4180000.0,2592000.0,0.97,4055000.0,2006,1186.8,5475.7,1106.5,157.1,2.8,7928.9
198,ID,97000.0,27,2619000.0,1179000.0,1.61,4217000.0,2010,4288.3,19051.4,6740.8,143.4,36.7,30260.6
199,ID,97000.0,34,3298000.0,1253000.0,1.82,6002000.0,2016,1.1,16642.4,2278.5,115.6,0.0,19037.6
200,IL,10000.0,48,480000.0,77000.0,5.42,2602000.0,2016,2.5,8139.3,2710.1,0.0,0.0,10851.9
201,IL,10000.0,66,660000.0,356000.0,2.14,1412000.0,2006,39370.0,2538.7,8750.8,74.9,64.3,50798.7
202,IL,11000.0,46,506000.0,167000.0,4.76,2409000.0,2017,,,,,,
203,IL,6000.0,76,456000.0,251000.0,1.58,720000.0,2001,0.0,650.8,0.0,0.0,0.0,650.8
204,IL,7000.0,48,336000.0,101000.0,4.19,1408000.0,2013,222432.9,79582.5,31131.3,178.9,0.0,333325.6
205,IL,7000.0,50,350000.0,98000.0,3.9,1365000.0,2011,130241.7,66760.4,30175.8,98.2,0.0,227276.1
206,IL,7000.0,55,385000.0,193000.0,1.86,716000.0,2004,38467.5,7921.4,2068.2,456.9,110.5,49024.5
207,IL,7000.0,60,420000.0,252000.0,1.83,769000.0,2003,0.0,790.6,21.7,46.3,0.0,858.6
208,IL,7000.0,61,427000.0,145000.0,3.55,1516000.0,2012,212756.9,58895.9,38048.5,152.7,0.0,309854.0
209,IL,8000.0,34,272000.0,57000.0,2.55,694000.0,2009,87037.3,8471.3,33399.8,123.2,0.0,129031.6
210,IL,8000.0,49,392000.0,94000.0,4.11,1611000.0,2014,278498.8,85852.3,38568.4,92.1,0.0,403011.6
211,IL,8000.0,51,408000.0,155000.0,4.66,1901000.0,2015,17.1,6849.6,15849.1,80.9,0.0,22796.7
212,IL,8000.0,56,448000.0,116000.0,2.59,1160000.0,2008,83463.1,10470.0,17551.8,24.9,0.0,111509.8
213,IL,8000.0,61,488000.0,146000.0,1.17,571000.0,2000,0.0,416.4,0.0,0.0,0.0,416.4
214,IL,8000.0,85,680000.0,408000.0,1.84,1251000.0,2005,47239.0,7969.5,4114.8,74.2,0.0,59397.5
215,IL,9000.0,41,369000.0,92000.0,2.78,1026000.0,2010,78975.3,74302.9,34804.7,24.5,0.0,188107.4
216,IL,9000.0,63,567000.0,374000.0,2.49,1412000.0,2007,59760.1,6555.4,14219.0,73.1,0.0,80607.6
217,IL,9000.0,66,594000.0,327000.0,1.15,683000.0,1999,0.0,231.0,0.0,0.0,0.0,231.0
218,IL,9000.0,71,639000.0,204000.0,1.19,760000.0,1998,0.0,200.9,0.0,0.0,0.0,200.9
219,IL,9000.0,80,720000.0,130000.0,1.47,1058000.0,2002,0.0,293.7,15.7,0.0,0.0,309.4
220,IN,10000.0,43,430000.0,151000.0,2.23,959000.0,2010,38671.5,50011.9,16785.9,30.8,13.7,105513.8
221,IN,10000.0,81,810000.0,437000.0,0.9,729000.0,1999,0.0,458.3,0.0,0.0,0.0,458.3
222,IN,5000.0,56,280000.0,78000.0,1.66,465000.0,2003,0.0,441.8,69.0,65.5,0.0,576.3
223,IN,5000.0,62,310000.0,115000.0,3.19,989000.0,2014,149287.3,66659.6,18844.2,56.8,0.4,234848.3
